player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
Jeff Teague,134,80,181,44.2,69,140,49.29,11,41,26.83,132,157,84.08,16,21,7,1.0,8,5.0
Jeff Withey,9,3,7,42.86,3,7,42.86,0,0,0.0,1,2,50.0,2,3,2,0.0,4,0.0
Jerami Grant,28,5,13,38.46,4,9,44.44,1,4,25.0,9,20,45.0,3,1,5,0.0,4,0.0
Jeremy Evans,5,3,5,60.0,3,5,60.0,0,0,0.0,2,3,66.67,3,0,3,0.0,4,0.0
Jeremy Lamb,34,11,31,35.48,8,15,53.33,3,16,18.75,17,19,89.47,7,1,3,0.0,5,0.0
Jeremy Lin,74,53,110,48.18,35,74,47.3,18,36,50.0,78,92,84.78,20,11,6,1.0,6,4.0
Jeremy Pargo,3,3,10,30.0,1,5,20.0,2,5,40.0,3,3,100.0,1,2,0,0.0,2,0.0
Jeremy Richardson,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Jerian Grant,12,5,15,33.33,4,8,50.0,1,7,14.29,19,24,79.17,1,1,2,0.0,3,0.0
Jermaine Jackson,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jermaine O'Neal,117,56,148,37.84,55,145,37.93,1,3,33.33,53,77,68.83,31,16,35,0.0,10,2.0
Jermaine Taylor,3,5,5,100.0,5,5,100.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0.0
Jerome James,4,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,1,0,0,0.0,2,0.0
